"Titre","Montant","Devise","Taux de change","Montant dans la devise du tricount (CHF)","Type de transaction","Catégorie","Payé par","Payé par Caps","Payé par Emilian","Impacté à Caps","Impacté à Emilian","Date & heure","URL des images"
"Frais de carte CA","2.00","EUR","0.973106","1.95","Dépense","Frais bancaires 🏦","Emilian","0.00","1.95","0.00","-1.95","4 juillet 2024 00:00",""
"Déboucheur","10.00","EUR","0.973106","9.73","Dépense","Produits d'entretien 🧹","Emilian","0.00","9.73","-4.86","-4.87","4 juillet 2024 00:00",""
"Feuille lessive","4.00","EUR","0.973106","3.89","Dépense","Hygiène et cosmétique 🧴","Emilian","0.00","3.89","-1.94","-1.95","4 juillet 2024 00:00",""
"Courses","112.00","EUR","0.973106","108.99","Dépense","Courses","Caps","108.99","0.00","-54.49","-54.50","4 juillet 2024 00:00",""
"Frais conversion","5.00","CHF","1","5.00","Dépense","Frais bancaires 🏦","Emilian","0.00","5.00","-2.50","-2.50","2 juillet 2024 00:00",""
"Loyer","775.00","CHF","1","775.00","Dépense","Loyer & Charges","Emilian","0.00","775.00","0.00","-775.00","2 juillet 2024 00:00",""
"Petit dej Coop","2.10","CHF","1","2.10","Dépense","Courses","Emilian","0.00","2.10","0.00","-2.10","28 juin 2024 00:00",""
"Le Paradigme Bitcoin","180.00","CHF","1","180.00","Dépense","Loisirs 🏩","Emilian","0.00","180.00","0.00","-180.00","21 juin 2024 00:00",""
"Sushi Swibeco","49.80","CHF","1","49.80","Dépense","Restaurants & Bars","Emilian","0.00","49.80","-24.90","-24.90","20 juin 2024 00:00",""
"Burger Smood Swibeco","69.40","CHF","1","69.40","Dépense","Restaurants & Bars","Emilian","0.00","69.40","-34.70","-34.70","21 juin 2024 00:00",""
"Flix Bretagne aller","69.50","EUR","0.966447","67.17","Dépense","Transport","Emilian","0.00","67.17","0.00","-67.17","2 juillet 2024 00:00",""
"Flixbus retour","145.00","EUR","0.966447","140.13","Dépense","Transport","Caps","140.13","0.00","-70.06","-70.07","2 juillet 2024 00:00",""
"Petit dej","7.00","CHF","1","7.00","Dépense","Taff 🥂","Caps","7.00","0.00","-7.00","0.00","27 juin 2024 00:00",""
"Anniv math","17.45","CHF","1","17.45","Dépense","Cadeau 🎁","Caps","17.45","0.00","-8.72","-8.73","25 juin 2024 00:00",""
"Restau Annecy","50.00","EUR","0.959387","47.97","Dépense","Restaurants & Bars","Caps","47.97","0.00","-23.98","-23.99","23 juin 2024 00:00",""
"Coiffeur","20.00","CHF","1","20.00","Dépense","Coiffeur 💈","Emilian","0.00","20.00","0.00","-20.00","21 juin 2024 00:00",""
"Produit menager","7.20","CHF","1","7.20","Dépense","Produits d'entretien 🧹","Emilian","0.00","7.20","-3.60","-3.60","21 juin 2024 00:00",""
"Pringles","3.30","CHF","1","3.30","Dépense","Plaisir 🍫","Emilian","0.00","3.30","0.00","-3.30","21 juin 2024 00:00",""
"Courses","48.00","EUR","0.962948","46.22","Dépense","Courses","Emilian","0.00","46.22","-23.11","-23.11","17 juin 2024 00:00",""
"Dentifrice","7.20","EUR","0.962948","6.93","Dépense","Hygiène et cosmétique 🧴","Emilian","0.00","6.93","-3.46","-3.47","17 juin 2024 00:00",""
"Swibeco","-180.00","CHF","1","-180.00","Rentrée d'argent","Salaire 💵","Emilian","0.00","-180.00","0.00","180.00","24 mai 2024 00:00",""
"Swibeco","-180.00","CHF","1","-180.00","Rentrée d'argent","Salaire 💵","Emilian","0.00","-180.00","0.00","180.00","25 mars 2024 00:00",""
"Salaire stage Caps","-2032.10","CHF","1","-2032.10","Rentrée d'argent","Salaire 💵","Caps","-2032.10","0.00","2032.10","0.00","25 mai 2024 00:00",""
"Salaire stage Caps","-2022.80","CHF","1","-2022.80","Rentrée d'argent","Salaire 💵","Caps","-2022.80","0.00","2022.80","0.00","25 avril 2024 00:00",""
"Salaire stage Caps","-2023.00","CHF","1","-2023.00","Rentrée d'argent","Salaire 💵","Caps","-2023.00","0.00","2023.00","0.00","26 mars 2024 00:00",""
"Salaire stage","-1967.00","CHF","1","-1967.00","Rentrée d'argent","Salaire 💵","Emilian","0.00","-1967.00","0.00","1967.00","25 mai 2024 00:00",""
"Salaire stage","-1967.00","CHF","1","-1967.00","Rentrée d'argent","Salaire 💵","Emilian","0.00","-1967.00","0.00","1967.00","25 avril 2024 00:00",""
"Salaire mars","-1967.00","CHF","1","-1967.00","Rentrée d'argent","Salaire 💵","Emilian","0.00","-1967.00","0.00","1967.00","26 mars 2024 00:00",""
